Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings	Year	Herbarium	Project
A_treculianus_Elmer12468	276776	89622	0.324	522	410	402	352	219	95	1	0	1910	yes	Artocarpus
A_treculianus_Elmer13135	409098	77467	0.189	526	403	395	348	237	121	2	0	1911	yes	Artocarpus
A_pinnatisectus_Escritor	4566967	674121	0.148	528	484	447	404	298	170	0	0	1913	yes	Artocarpus
A_subrotundifolius_Wenzel1576	7307737	3052018	0.418	528	514	511	503	475	434	1	40	1915	yes	Artocarpus
A_xanthocarpus_Elmer16247	4477252	1517401	0.339	522	460	451	414	314	167	1	0	1916	yes	Artocarpus
A_nigrescens_Ramos2107	295154	214268	0.726	525	450	446	417	330	200	1	1	1919	yes	Artocarpus
A_blancoi_Ramos42018	7608746	3463882	0.455	530	526	526	525	521	485	2	27	1920	yes	Artocarpus
A_fretessii_Wenzel811	699078	225786	0.323	519	454	447	435	377	272	0	18	1920	yes	Artocarpus
A_horridus_Beguin1900	121322	83516	0.688	506	264	242	140	35	5	0	0	1920	yes	Artocarpus
A_melinoxylus_melinoxylus_Poilane	79381	38392	0.484	492	126	108	26	3	1	0	0	1920	yes	Artocarpus
A_vrieseanus_papillosus_Kajewski2360	216950	65599	0.302	510	315	304	238	118	22	0	0	1930	yes	Artocarpus
A_altissimus_BB18789	871827	273634	0.314	515	274	220	93	9	0	0	0	1934	yes	Artocarpus
A_teijsmannii_subglabrus_NGF1176	823090	64310	0.078	519	388	380	359	289	180	1	2	1944	yes	Artocarpus
A_vrieseanus_refractus_Brass21660	1565228	1174330	0.75	524	508	503	498	479	434	1	54	1953	yes	Artocarpus
A_vrieseanus_refractus_Hoogland4822	416437	152484	0.366	518	457	452	429	345	216	0	1	1954	yes	Artocarpus
A_vrieseanus_subsessilis_Hoogland4813	332446	119059	0.358	518	436	430	409	331	197	0	0	1954	yes	Artocarpus
A_horridus_Hoogland10612	454125	77866	0.171	526	348	336	288	183	72	0	0	1960	yes	Artocarpus
A_aff_blancoi_Havel15445	1393064	1214412	0.872	505	143	66	11	0	0	0	0	1962	yes	Artocarpus
A_cf_corneri_Fuchs21347	205667	155835	0.758	526	452	448	410	318	180	0	0	1963	yes	Artocarpus
A_sarawakensis_S23876	7456303	3313752	0.444	527	518	517	515	492	443	1	17	1965	yes	Artocarpus
A_frutescens_S26230	0	0	0	434	349	238	0	0	0	0	0	1966	yes	Artocarpus
A_teijsmannii_subglabrus_BSIP9301	407643	310015	0.761	526	464	460	447	382	243	1	2	1968	yes	Artocarpus
A_maingayi_DeWilde13584	1511485	1127803	0.746	529	518	517	517	490	423	1	30	1972	yes	Artocarpus
A_obtusus_S31741	1049272	726371	0.692	530	527	524	521	500	414	1	3	1972	yes	Artocarpus
A_cf_vrieseanus_ssp_subsessilis_IslesNGF32281	24418	17887	0.733	480	151	139	73	16	2	0	0	1973	yes	Artocarpus
A_nobilis_Kostermans24593	990575	710354	0.717	527	510	506	503	460	372	2	28	1973	yes	Artocarpus
A_glaucus_Dunlop5189	475014	344927	0.726	520	484	479	473	454	391	0	49	1979	yes	Artocarpus
A_annulatus_S38722	5184829	2514343	0.485	526	512	511	507	493	440	0	40	1980	yes	Artocarpus
A_nitidus_ssp_lingnanensis_Yip283	568683	442721	0.779	521	521	516	446	374	246	0	6	1981	yes	Artocarpus
A_longifolius_longifolius_SAN110834	66656	50707	0.761	505	336	331	297	193	95	0	0	1985	yes	Artocarpus
A_jarrettiae_SAN120933	4709384	1918590	0.407	526	375	274	121	13	1	0	0	1987	yes	Artocarpus
A_rubrovenius_JSB84	3095583	1429772	0.462	524	502	499	487	459	411	1	37	1987	yes	Artocarpus
A_ovatus_Fernando786	864892	644785	0.746	523	499	497	490	470	428	1	57	1988	yes	Artocarpus
A_sarawakensis_Burley1792	1574715	1203509	0.764	526	515	511	506	474	377	1	29	1988	yes	Artocarpus
A_dadah_Sidiyasa3465	224275	83529	0.372	516	397	393	354	279	170	0	0	1990	yes	Artocarpus
A_fretessii_Burley4171	1061383	805777	0.759	526	507	506	501	478	435	1	64	1990	yes	Artocarpus
Batocarpus_amazonicus_Salidas1233	1374019	829483	0.604	333	328	324	322	320	307	4	12	1990	yes	Artocarpus
A_aff_glaucus_AAW882	1715908	1155130	0.673	526	508	505	502	494	462	1	103	1991	yes	Artocarpus
A_cf_pinnatisectus_PPI2376	5056894	2050622	0.406	528	513	513	504	469	394	2	13	1991	yes	Artocarpus
A_dadah_deWilde21278	570106	40421	0.071	504	306	300	286	208	109	0	0	1991	yes	Artocarpus
A_sp_PPI2741	666619	334348	0.502	528	468	465	448	354	207	1	0	1991	yes	Artocarpus
Clarisia_illicifolia_Carranta6386	204981	104653	0.511	331	279	270	242	175	87	0	0	1991	yes	Artocarpus
A_fretessii_PPI6044	1040478	53804	0.052	508	336	316	283	203	94	0	0	1992	yes	Artocarpus
A_multifidus_PPI3911	419555	53632	0.128	508	255	241	157	40	2	0	0	1992	yes	Artocarpus
A_nitidus_ssp_nitidus_PPI10374	9934147	6186590	0.623	528	512	509	496	469	408	1	23	1992	yes	Artocarpus
A_sp_Pseudojaca_AA440	397252	31526	0.079	500	241	228	198	134	61	0	0	1992	yes	Artocarpus
A_blancoi_PPI12090	1714598	40566	0.024	497	161	85	66	30	11	0	0	1993	yes	Artocarpus
A_longifolius_Nangkat15511	493727	151287	0.306	516	386	382	347	245	103	0	0	1994	yes	Artocarpus
A_aff_excelsus_AveryanovVH1819	796709	270918	0.34	527	476	471	463	426	312	1	9	1995	yes	Artocarpus
A_aff_excelsus_VH445	5038884	2713697	0.539	528	524	524	523	520	483	2	26	1995	yes	Artocarpus
A_hispidus_WT52	330110	66326	0.201	523	390	385	350	251	138	0	0	1995	yes	Artocarpus
Trophis_montana_Andrianantoanina1023	460881	345967	0.751	333	328	328	328	328	322	3	7	1996	yes	Artocarpus
Clarisia_racemosa_Assuncao690	1493852	911841	0.61	332	329	325	324	321	306	3	15	1997	yes	Artocarpus
A_albobrunneus_AA2243	7767961	2458109	0.316	526	507	506	502	485	456	1	62	2000	yes	Artocarpus
A_altilis_K7_UluFiti	572337	314492	0.549	530	507	507	507	506	492	1	38	2000	no	Artocarpus
A_altilis_V8_Afara	1026514	605829	0.59	530	525	524	524	524	508	1	45	2000	no	Artocarpus
A_camansi_Kapiak_McB1	1136020	653705	0.575	529	526	526	526	526	514	1	44	2000	no	Artocarpus
A_camansi_NTBG960576.001	1491560	711427	0.477	530	519	517	517	517	503	1	30	2000	no	Artocarpus
A_camansi_Philippines_M10	629170	342667	0.545	529	510	510	510	509	493	1	27	2000	no	Artocarpus
A_mariannensis_DD4	1797620	978549	0.544	528	527	527	527	527	509	1	51	2000	no	Artocarpus
