Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings	Year	Herbarium	Project
Oenothera_coryi_US_79614	738246	285319	0.386	313	179	173	66	11	1	0	0	1882	yes	Oenothera
Oenothera_indecora_US_56651	665364	437360	0.657	312	288	286	264	174	68	0	0	1890	yes	Oenothera
Eremothera_pygmaea_US_288724	638641	100494	0.157	315	271	269	243	156	65	0	0	1893	yes	Oenothera
Chylismia_scapoidea_utahensis_US_234903	431937	336959	0.78	311	299	299	279	214	114	2	2	1894	yes	Oenothera
Oenothera_dodgeniana_US_561074	656171	153581	0.234	315	284	284	250	149	50	0	0	1899	yes	Oenothera
Oenothera_curtissii_US_1383820	635020	468810	0.738	310	271	270	231	124	42	0	0	1900	yes	Oenothera
Oenothera_mollissima_US_383613	1873399	1099347	0.587	312	288	285	244	131	49	0	0	1900	yes	Oenothera
Chylismia_scapoidea_macrocarpa_US_410067_combined	148800	104325	0.701	309	159	151	77	14	2	0	0	1901	yes	Oenothera
Oenothera_magellanica_US_1177361	614512	130508	0.212	314	247	245	174	66	15	0	0	1903	yes	Oenothera
Circaea_cordata_US_3008300_combined	890956	432268	0.485	310	308	307	300	269	190	1	1	1905	yes	Oenothera
Oenothera_cordata_US_3239137	367756	271361	0.738	309	283	283	246	141	50	0	0	1905	yes	Oenothera
Oenothera_nana_US_1157183_combined	548185	177360	0.324	305	144	137	75	15	1	0	0	1907	yes	Oenothera
Oenothera_punae_US_1177341	635197	186392	0.293	315	284	282	222	112	35	0	0	1907	yes	Oenothera
Clarkia_williamsonii_US_668370	137545	93743	0.682	307	146	144	90	24	2	0	0	1911	yes	Oenothera
Oenothera_macrosceles_US_464008	319272	221449	0.694	309	272	269	205	101	24	0	0	1911	yes	Oenothera
Oenothera_oakesiana_US_750620_combined	83683	69043	0.825	309	215	212	160	78	26	0	0	1913	yes	Oenothera
Oenothera_versicolor_US_1177339	111065	98544	0.887	307	183	181	107	26	6	0	0	1919	yes	Oenothera
Oenothera_longituba_US_1590620	514305	433952	0.844	310	151	144	56	9	2	0	0	1923	yes	Oenothera
Clarkia_borealis_borealis_US_1469125	218406	161261	0.738	310	284	283	256	186	98	2	4	1928	yes	Oenothera
Clarkia_gracilis_sonomensis_US_1485397	672568	468794	0.697	311	301	301	295	244	149	5	35	1928	yes	Oenothera
Clarkia_bottae_US_1485385	311860	207216	0.664	311	209	205	154	62	17	0	0	1928	yes	Oenothera
Oenothera_arizonica_US_1620696	556955	132786	0.238	317	292	289	264	188	96	0	0	1933	yes	Oenothera
Oenothera_jamesii_US_1812482	686550	523652	0.763	311	280	278	216	110	35	0	0	1935	yes	Oenothera
Chylismia_claviformis_rubescens_US_1634090	1193188	946351	0.793	311	303	302	292	247	150	3	0	1935	yes	Oenothera
Oenothera_wolfii_US_1812500	588822	203030	0.345	314	257	252	208	115	42	0	0	1936	yes	Oenothera
Oenothera_nutans_US_1765034	558888	123577	0.221	312	253	250	194	89	31	0	0	1937	yes	Oenothera
Oenothera_elata_elata_US_1812527	407331	296255	0.727	311	276	275	215	98	25	0	0	1937	yes	Oenothera
Oenothera_deltoides_ambigua_US_1767005	565144	142634	0.252	314	276	274	253	168	75	0	0	1937	yes	Oenothera
Oenothera_siambonensis_US_1800195	613881	153360	0.25	314	236	232	141	47	7	0	0	1939	yes	Oenothera
Oenothera_tarijensis_US_1777808	785872	298350	0.38	310	171	164	79	20	3	0	0	1939	yes	Oenothera
Oenothera_pedunculifolia_US_1800196	434881	86027	0.198	310	165	164	76	8	0	0	0	1939	yes	Oenothera
Chylismia_specicola_specicola_US_1814275	278514	214270	0.769	309	281	280	230	131	39	0	0	1940	yes	Oenothera
Oenothera_perennis_US_3383307	480380	127636	0.266	315	265	264	228	136	43	0	0	1941	yes	Oenothera
Oenothera_picensis_cordobensis_US_1907570	626340	173279	0.277	313	257	254	177	68	19	0	0	1943	yes	Oenothera
Oenothera_epilobiifolia_epilobiifolia_US_2107650	620468	160807	0.259	313	287	286	261	169	75	0	0	1944	yes	Oenothera
Clarkia_speciosa_immaculata_US_3691436	531972	430297	0.809	311	305	303	293	238	138	1	10	1946	yes	Oenothera
Oenothera_filiformis_US_2099932	481717	116427	0.242	314	268	267	207	92	30	0	0	1946	yes	Oenothera
Gayophytum_ramosissimum_US_1973804	413744	28941	0.07	311	153	147	89	30	5	0	0	1947	yes	Oenothera
Oenothera_drummondii_thalassaphila_US_2022869	535452	412071	0.77	311	290	290	228	105	31	0	0	1947	yes	Oenothera
Clarkia_biloba_australis_US_2232331	362623	275277	0.759	312	299	299	287	227	129	1	10	1947	yes	Oenothera
Eulobus_sceptrostigma_US_2811240	257093	188280	0.732	312	272	269	227	121	46	0	0	1949	yes	Oenothera
Oenothera_fruticosa_fruticosa_US_1972749	685455	160044	0.233	316	279	276	232	133	62	0	0	1949	yes	Oenothera
Oenothera_lindheimeri_US_2007924	1130868	271985	0.241	317	298	298	267	187	81	0	0	1949	yes	Oenothera
Fuchsia_excorticata_US_1993822_combined	1005921	483414	0.481	310	142	138	61	13	3	0	0	1949	yes	Oenothera
Oenothera_filipes_US_2067232	1029062	328497	0.319	316	306	306	296	253	159	0	2	1951	yes	Oenothera
Clarkia_gracilis_albicaulis_US_2232353	306260	235076	0.768	308	293	293	278	226	134	6	22	1951	yes	Oenothera
Oenothera_breedlovei_US_2344965	661109	555992	0.841	309	239	238	182	70	23	0	0	1955	yes	Oenothera
Oenothera_clelandii_US_3585138	546905	415843	0.76	311	277	276	219	124	40	0	0	1956	yes	Oenothera
Chylismia_claviformis_yumae_US_2338889	53281	36140	0.678	309	145	141	81	20	3	0	0	1958	yes	Oenothera
Oenothera_mckelveyae_US_2339870	748728	232225	0.31	314	302	302	293	241	147	0	2	1959	yes	Oenothera
Chylismia_brevipes_arizonica_US_2338945	345427	259065	0.75	310	304	303	286	212	104	3	0	1960	yes	Oenothera
Clarkia_concinna_automixa_US_2998851	362733	241980	0.667	310	292	292	268	197	100	1	4	1961	yes	Oenothera
Chamaenerion_angustifolium_circumvagum_US_3402016	679424	62293	0.092	314	214	208	161	80	24	0	1	1962	yes	Oenothera
Oenothera_longiflora_longiflora_US_2864503	517882	382354	0.738	312	276	276	228	118	26	0	0	1963	yes	Oenothera
Camissonia_integrifolia_US_3680952	217887	174374	0.8	312	290	286	259	175	85	0	2	1964	yes	Oenothera
Chylismia_claviformis_peeblesii_US_3603283	540592	418101	0.773	310	307	305	295	253	168	0	9	1964	yes	Oenothera
Oenothera_glazioviana_US_3341821	602191	418211	0.694	311	277	276	246	147	51	0	0	1964	yes	Oenothera
Oenothera_deserticola_US_2516410	594248	229837	0.387	308	189	185	103	21	2	0	0	1965	yes	Oenothera
Clarkia_biloba_biloba_US_2574972	566834	410865	0.725	314	275	275	225	112	42	0	0	1965	yes	Oenothera
Eremothera_minor_US_3022960	566980	75622	0.133	313	233	232	192	99	39	0	0	1965	yes	Oenothera
Oenothera_brandegeei_Moran_12983	1280622	357961	0.28	318	307	305	298	256	164	0	0	1966	yes	Oenothera
Camissoniopsis_guadalupensis_clementiana_US_3581400	429816	29393	0.068	312	162	153	84	26	8	0	0	1966	yes	Oenothera
Chylismia_megalantha_US_2943978	333142	243592	0.731	311	303	303	291	232	143	0	3	1966	yes	Oenothera
Fuchsia_microphylla_aprica_US_2557162_combined	709467	179732	0.253	312	274	270	230	146	59	0	0	1967	yes	Oenothera
Oenothera_maysillesii_US_2846983_combined	556635	266464	0.479	309	192	189	114	32	5	0	0	1967	yes	Oenothera
Oenothera_triangulata_Perino_200	260786	90422	0.347	311	271	268	201	102	34	0	0	1968	yes	Oenothera
Eremothera_boothii_intermedia_US_2943773	574708	49576	0.086	315	185	181	136	57	22	0	0	1968	yes	Oenothera
Chylismiella_pterosperma_US_2943950_A	152494	115988	0.761	310	294	293	278	229	127	0	0	1969	yes	Oenothera
Chylismia_heterochroma_US_2943915	322770	241793	0.749	311	295	294	273	192	100	0	0	1969	yes	Oenothera
Fuchsia_magellanica_US_2574362A_combined	946713	289628	0.306	312	235	234	180	86	31	0	0	1970	yes	Oenothera
Oenothera_dissecta_Henrickson_6243	495589	382610	0.772	311	308	307	303	260	183	1	7	1971	yes	Oenothera
Oenothera_nocturna_US_3239147_combined	644661	536427	0.832	311	291	290	260	169	72	0	0	1971	yes	Oenothera
Epilobium_palustre_CHIC_13521	748012	89121	0.119	316	256	254	230	142	52	0	1	1972	yes	Oenothera
Oenothera_featherstonei_US_3239136_combined	1151515	904088	0.785	312	308	307	299	257	171	0	0	1974	yes	Oenothera
Oenothera_heterophylla_orientalis_US_3239150	18223	14615	0.802	301	75	73	49	15	4	0	0	1974	yes	Oenothera
Oenothera_sessilis_US_2827159	349965	198037	0.566	311	302	302	296	250	165	0	4	1975	yes	Oenothera
Oenothera_mexicana_US_3681210_combined	688264	553659	0.804	313	305	304	293	253	160	0	0	1978	yes	Oenothera
Oenothera_patriciae_US_3662429	719636	589513	0.819	310	308	308	300	264	184	1	4	1981	yes	Oenothera
Ludwigia_polycarpa_CHIC_371_combined	819501	186743	0.228	301	197	188	98	24	5	0	0	1986	yes	Oenothera
Camissoniopsis_proavita_US_3686219	852030	62228	0.073	316	259	256	219	133	46	0	0	1988	yes	Oenothera
Oenothera_longissima_US_3213867	175558	37119	0.211	309	202	199	156	67	25	0	0	1988	yes	Oenothera
Oenothera_orizabae_Diaz_5901	300697	243793	0.811	311	305	305	286	225	128	0	0	1989	yes	Oenothera
Lopezia_lopezioides_Okane_3389	377184	307059	0.814	292	200	194	126	38	7	0	0	1989	yes	Oenothera
Oenothera_multicaulis_Elleman_66724	230906	57442	0.249	311	222	220	162	69	25	0	0	1989	yes	Oenothera
Oenothera_canescens_US_3334020	564564	451228	0.799	310	309	308	302	270	184	1	7	1992	yes	Oenothera
Epilobium_canum_garrettii_US_3242097	1125535	116235	0.103	318	271	269	250	167	69	0	2	1993	yes	Oenothera
Chylismia_exilis_US_3341851	769586	570079	0.741	311	307	305	299	274	200	0	1	1993	yes	Oenothera
Oenothera_pallida_latifolia_US_3242094	1546985	400349	0.259	319	304	303	295	246	162	0	0	1993	yes	Oenothera
Epilobium_lactiflorum_LOL_667	406682	206671	0.508	310	302	301	291	236	121	0	6	1993	yes	Oenothera
Oenothera_odorata_US_3341539	345428	99734	0.289	311	293	291	276	195	102	1	0	1994	yes	Oenothera
Chylismia_specicola_hesperia_US_3403797	716524	523147	0.73	312	307	306	299	275	195	1	17	1994	yes	Oenothera
Oenothera_epilobiifolia_cuprea_Kress_94-4335	519388	104207	0.201	315	254	252	186	83	23	0	0	1994	yes	Oenothera
Camissoniopsis_micrantha_US_3341844	445380	43931	0.099	314	213	211	175	85	25	0	0	1994	yes	Oenothera
Oenothera_villaricae_US_3341537	931296	658550	0.707	312	309	307	303	267	202	0	6	1994	yes	Oenothera
Clarkia_mildrediae_lutescens_US_3351871	670189	490233	0.731	311	303	302	286	233	133	0	8	1995	yes	Oenothera
Oenothera_riparia_US_3585857	745879	572636	0.768	310	307	306	300	265	182	3	21	1997	yes	Oenothera
